Column1.1,Column1.2,Column1.3,Column1.4,Column1.5,Column1.6,Column1.7,Column1.8,Column1.9,Column1.10,Column1.11,Column1.12,Column1.13,Column1.14,Column1.15,Column1.16,Column1.17,Column1.18,Column1.19,Column1.20,Column1.21
, Serial No , Hospital        , State   , Location    , Department     , Equipment     , Quantity , Unit Price (USD) , Supplier       , Supplier Contact , Supplier Phone , Supplier Email       , Supplier Country , Date Ordered , Date Delivered , Warranty Period (Months) , Maintenance Cost (USD/year) , Installation Cost (USD) , Equipment Condition ,
,-----------,----------------,---------,-------------,----------------,---------------,----------,------------------,----------------,------------------,----------------,----------------------,-----------------,--------------,----------------,--------------------------,------------------------------,-------------------------,---------------------,
, 1         , Lagos General  , Lagos   , Lagos City  , Cardiology     , ECG Machine   , 2        , 5000             , MedTech Inc.   , John Doe         , +1234567890    , john@medtech.com    , USA             , 2024-03-15   , 2024-04-10     , 24                       , 1000                         , 500                     , New                 ,
, 2         , Abuja Hospital , Abuja   , Abuja City  , Radiology      , MRI Machine   , 1        , 15000            , Imagix         , Jane Smith       , +9876543210    , jane@imagix.co.uk   , UK              , 2024-02-20   , 2024-03-18     , 36                       , 2000                         , 1000                    , New                 ,
, 3         , Kano Medical   , Kano    , Kano City   , Surgery        , Surgical Tools, 5        , 300              , SurgiSupplies  , Ahmed Hassan     , +2345678901    , ahmed@surgisup.com  , UAE             , 2024-01-10   , 2024-02-05     , 12                       , 500                          , 200                     , Used - Good         ,
, 4         , Port Harcourt  , Rivers  , Port Harcourt, Pediatrics     , Ventilator    , 3        , 10000            , RespCare       , Emily Johnson    , +3456789012    , emily@respcare.cn    , China           , 2024-04-02   , 2024-04-25     , 24                       , 1500                         , 800                     , Refurbished         ,
, 5         , Ibadan Clinic  , Oyo     , Ibadan City , Obstetrics     , Ultrasound    , 1        , 8000             , Sonoscan       , Michael Chang    , +4567890123    , michael@sonoscan.jp , Japan           , 2024-03-05   , 2024-03-28     , 24                       , 1200                         , 600                     , New                 ,
, 6         , Kaduna Clinic   , Kaduna  , Kaduna City  , Oncology       , Radiation Machine, 1        , 200000           , RadSource     , Maria Garcia     , +1122334455    , maria@radsource.de  , Germany         , 2024-04-10   , 2024-05-05     , 48                       , 5000                         , 2000                    , New                 ,
, 7         , Enugu General   , Enugu   , Enugu City   , Neurology      , EEG Machine     , 2        , 10000            , NeuroTech     , Pedro Martinez  , +9988776655    , pedro@neurotech.es  , Spain           , 2024-02-28   , 2024-03-25     , 36                       , 1500                         , 1000                    , Refurbished         ,
, 8         , Benin City Hosp , Edo     , Benin City   , Orthopedics    , X-ray Machine   , 1        , 25000            , MedImaging    , Anna Lee         , +3322114455    , anna@medimaging.fr  , France          , 2024-03-20   , 2024-04-15     , 36                       , 2000                         , 1200                    , New                 ,
, 9         , Owerri Medical  , Imo     , Owerri City  , Urology        , Lithotripter    , 1        , 75000            , UltraMed      , Fatima Khan      , +7755332211    , fatima@ultramed.in  , India           , 2024-01-25   , 2024-02-20     , 48                       , 3000                         , 1500                    , New                 ,
